id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107067181,Jacob Jusu Saffa,male,,,,,,Jacob Jusu Saffa
Q15127738,Kaifala Marah,male,,7,,,,Kaifala Marah
Q16727827,David Carew,male,,,,,,David Carew
Q20090713,Victor Bockarie Foh,male,1946-06-12,11,,,,Victor Bockarie Foh
Q26923472,Momodu Kargbo,male,,,,,,Momodu Kargbo
Q283829,Julius Maada Bio,male,1964-05-12,11,,,Julius Maada Bio USDA 2021.jpg,Julius Maada Bio
Q3319770,Momodu Koroma,male,1956,9,,,,Momodu Koroma
Q336297,Ahmed Tejan Kabbah,male,1932-02-16,11,2014-03-13,11,Ahmed Tejan Kabbah.jpg,Ahmad Tejan Kabbah
Q443070,Foday Sankoh,male,1937-10-17,11,2003-07-29,11,,Foday Sankoh
Q4695974,Ahmed Ramadan Dumbuya,male,1942,9,,,,Ahmed Ramadan Dumbuya
Q4710578,Albert Joe Demby,male,1934,9,,,,Albert Joe Demby
Q50242006,Mohamed Juldeh Jalloh,male,1970,9,,,Mark Green and Mohamed Juldeh Jalloh at USAID HQ (1) (cropped).jpg,Mohamed Juldeh Jalloh
Q53863493,David J. Francis,male,1965-10-05,11,,,David J. Francis.jpg,David J. Francis (politician)
Q55081550,Fatima Maada Bio,female,1980-11-27,11,,,,Fatima Maada Bio
Q55126210,Alie Kabba,male,,7,,,,
Q57460,Ernest Bai Koroma,male,1953-10-02,11,,,Ernest Bai Koroma.jpg,Ernest Bai Koroma
Q58244,Zainab Hawa Bangura,female,1959-12-18,11,,,Zainab Bangura giving a radio interview in Kinshasa (8654821769).jpg,Zainab Bangura
Q6104671,J. B. Dauda,male,1942-12-24,11,2017-06-01,11,J. B. Dauda 2011-05-11-2.jpg,J. B. Dauda
Q724271,Solomon Berewa,male,1938-08-06,11,2020-03-05,11,,Solomon Berewa
Q7413073,Samura Kamara,male,1951-04-30,11,,,Samura Kamara 2014.jpg,Samura Kamara
Q87471867,Nabeela Tunis,female,,,,,"Nabeela Tunis, 2019 (cropped).jpg",Nabeela Tunis
Q971440,Samuel Sam-Sumana,male,1962-04-07,11,,,,Samuel Sam-Sumana
Q98637396,Sama Banya,male,,,,,,
