item,itemLabel,position,positionLabel,startDate,endDate
Q283829,Julius Maada Bio,,Präsident,2018-04-04,
Q50242006,Mohamed Juldeh Jalloh,,Vize-Präsident,2018-04-04,
Q107067181,Jacob Jusu Saffa,,Chief Minister,2021-04-30,
Q53863493,David Francis,,Chief Minister,2018-05-07,2021-04-30
,Alpha Timbo,,Arbeit und Soziale Sicherheit,,
,Adekunle Milton King,,Arbeit und Soziale Sicherheit,2018-05-04,
Q53863493,David Francis,,Äußeres und Internationale Kooperation,2021-04-30,
,Nabeela Tunis,,Äußeres und Internationale Kooperation,2019-05,2021-04
,Alie Kabba,,Äußeres und Internationale Kooperation,2018-05-04,2019-05
Q53863493,David Francis,,Äußeres und Internationale Kooperation,2018-04-18,2018-04-23
,Musa Timothy Kabba,,Bergbau und Mineralien,2020-08,
,Foday Rado Yokie,,Bergbau und Mineralien,2019-05-31,2020-08
,Morie Manyeh,,Bergbau und Mineralien,2018-05-04,2019-05-31
,David Sengeh,,"Bildung, Primäre und Sekundäre",2019-11-20,
,Alpha Timbo,,"Bildung, Primäre und Sekundäre",2018-05-04,2019-11-20
,Aiah Gbakima,,"Bildung, Tertiäre",2018-05-07,
,Kanja Sesay,,Energie,2018-05-04,
,dem Chief Minister unterstellt,,Finanzen,2021-04-30,
Q107067181,Jacob Jusu Saffa,,Finanzen,,
,Emma Kowa-Jalloh,,Meereswesen,2018-05-04,
,Alpha Wurie,,Gesundheit,2018-05-04,
,Edward Sandy,,Handel und Industrie,2019-05-31,
,Peter Bayuku Conteh,,Handel und Industrie,2018-05-04,2019-05-31
,David Panda-Noah,,Inneres,2020-05,
,Edward Suluku,,Inneres,2018-05-04,2020-05
,Mohamed Bangura,,Jugend,2018-05-04,
,Mohamed Lamin Tarawalley,,Justiz und Attorney General,2022-01-18,
,Anthony Brewah,,Justiz und Attorney General,2020-07-07,2022-01
,Priscilla Schwartz,,Justiz und Attorney General,2018-06-11,2020-07-07
Q5080659,Charles Margai,,Justiz und Attorney General,2018-04-16,2018-06-11
,Mohamed Swaray,,Information und Kommunikation,2018-05-04,
,Denis Sandy,,Ländereien und Behausung,2018-05-04,
,Foday Jaward,,Umwelt,2019-11-20,
,Denis Vandi,,Land- und Waldwirtschaft,2019-11-20,
,Joseph Ndanema,,Land- und Waldwirtschaft,2018-05-04,2019-11-20
,Tamba Lamina,,Lokalverwaltung und Ländliche Entwicklung,2019-07,
,Anthony Brewah,,Lokalverwaltung und Ländliche Entwicklung,2018-05-04,2019-07
,Peter Conteh,,Öffentliche Arbeit und Staatseigentum,,
,Raymond de’Souza George,,Öffentliche Arbeit und Staatseigentum,2018-05-04,
,Francis Kaikai,,Planung und Wirtschaftsentwicklung,2019-06-20,
,Nabeela Tunis,,Planung und Wirtschaftsentwicklung,2018-05-04,2019-06-20
,Foday Yumkella,,Politische und Öffentliche Angelegenheiten,2018-05-07,
,Manti Tarawalli,,Geschlechter- und Kinderfürsorge,2019-11-20,
,Baindu Dassama,,Geschlechter- und Kinderfürsorge,2018-05-04,2019-11-20
,Ibrahim Nyelenkeh,,Sport,2018-05-07,
,Kabineh Kallon,,Transport und Luftverkehr,2018-05-04,
,Memunatu Pratt,,Tourismus und Kultur,2018-05-04,
,Kellie Conteh,,Verteidigung,2019-11-20,
,Philip Lansana,,Wasser,2019-11-20,
,Jonathan Tengbeh,,Wasser,2018-05-04,2019-11-20
,Andrew Fatorma,,Resident Minister: Eastern,2018-05-07,
,Abu Abu Koroma,,Resident Minister: Northern,2020-06-11,
,Isata Abdulai-Kamara,,Resident Minister: Northern,2020-05-13,2020-06-11
,Abu Abu Koroma,,Resident Minister: Northern,2018-05-07,2020-05-10
,Isata Abdulai-Kamara,,Resident Minister: North West,2018-05-07,
,Mohamed Alie,,Resident Minister: Southern,2018-05-07,
